Location,Account,Campaign,Platform
"92408, California, United States",CGDR,Nationwide (CA),GOOGLE
"92260, California, United States",CGDR,Nationwide (CA),GOOGLE
"90033, California, United States",CGDR,Nationwide (CA),GOOGLE
"91403, California, United States",CGDR,Nationwide (CA),GOOGLE
"91701, California, United States",CGDR,Nationwide (CA),GOOGLE
"92354, California, United States",CGDR,Nationwide (CA),GOOGLE
"93010, California, United States",CGDR,Nationwide (CA),GOOGLE
"95655, California, United States",CGDR,Nationwide (CA),GOOGLE
"90623, California, United States",CGDR,Nationwide (CA),GOOGLE
"90660, California, United States",CGDR,Nationwide (CA),GOOGLE
"92252, California, United States",CGDR,Nationwide (CA),GOOGLE
"92708, California, United States",CGDR,Nationwide (CA),GOOGLE
"92014, California, United States",CGDR,Nationwide (CA),GOOGLE
"94062, California, United States",CGDR,Nationwide (CA),GOOGLE
"92507, California, United States",CGDR,Nationwide (CA),GOOGLE
"94066, California, United States",CGDR,Nationwide (CA),GOOGLE
"95127, California, United States",CGDR,Nationwide (CA),GOOGLE
"94533, California, United States",CGDR,Nationwide (CA),GOOGLE
"90040, California, United States",CGDR,Nationwide (CA),GOOGLE
"93021, California, United States",CGDR,Nationwide (CA),GOOGLE
"90732, California, United States",CGDR,Nationwide (CA),GOOGLE
"92886, California, United States",CGDR,Nationwide (CA),GOOGLE
"91367, California, United States",CGDR,Nationwide (CA),GOOGLE
"95949, California, United States",CGDR,Nationwide (CA),GOOGLE
"92301, California, United States",CGDR,Nationwide (CA),GOOGLE
"95632, California, United States",CGDR,Nationwide (CA),GOOGLE
"93012, California, United States",CGDR,Nationwide (CA),GOOGLE
"94804, California, United States",CGDR,Nationwide (CA),GOOGLE
"91604, California, United States",CGDR,Nationwide (CA),GOOGLE
"92870, California, United States",CGDR,Nationwide (CA),GOOGLE
"95037, California, United States",CGDR,Nationwide (CA),GOOGLE
"93955, California, United States",CGDR,Nationwide (CA),GOOGLE
"95207, California, United States",CGDR,Nationwide (CA),GOOGLE
"95747, California, United States",CGDR,Nationwide (CA),GOOGLE
"90250, California, United States",CGDR,Nationwide (CA),GOOGLE
"93446, California, United States",CGDR,Nationwide (CA),GOOGLE
"95757, California, United States",CGDR,Nationwide (CA),GOOGLE
"94521, California, United States",CGDR,Nationwide (CA),GOOGLE
"95003, California, United States",CGDR,Nationwide (CA),GOOGLE
"92805, California, United States",CGDR,Nationwide (CA),GOOGLE
"92075, California, United States",CGDR,Nationwide (CA),GOOGLE
"91206, California, United States",CGDR,Nationwide (CA),GOOGLE
"93510, California, United States",CGDR,Nationwide (CA),GOOGLE
"95695, California, United States",CGDR,Nationwide (CA),GOOGLE
"94118, California, United States",CGDR,Nationwide (CA),GOOGLE
"90056, California, United States",CGDR,Nationwide (CA),GOOGLE
"95328, California, United States",CGDR,Nationwide (CA),GOOGLE
"90037, California, United States",CGDR,Nationwide (CA),GOOGLE
"95698, California, United States",CGDR,Nationwide (CA),GOOGLE
"91335, California, United States",CGDR,Nationwide (CA),GOOGLE
"94561, California, United States",CGDR,Nationwide (CA),GOOGLE
"92082, California, United States",CGDR,Nationwide (CA),GOOGLE
"94108, California, United States",CGDR,Nationwide (CA),GOOGLE
"91766, California, United States",CGDR,Nationwide (CA),GOOGLE
"94586, California, United States",CGDR,Nationwide (CA),GOOGLE
"92404, California, United States",CGDR,Nationwide (CA),GOOGLE
"90058, California, United States",CGDR,Nationwide (CA),GOOGLE
"95814, California, United States",CGDR,Nationwide (CA),GOOGLE
"91340, California, United States",CGDR,Nationwide (CA),GOOGLE
"94514, California, United States",CGDR,Nationwide (CA),GOOGLE
"91739, California, United States",CGDR,Nationwide (CA),GOOGLE
"92173, California, United States",CGDR,Nationwide (CA),GOOGLE
"92276, California, United States",CGDR,Nationwide (CA),GOOGLE
"90059, California, United States",CGDR,Nationwide (CA),GOOGLE
"92108, California, United States",CGDR,Nationwide (CA),GOOGLE
"90266, California, United States",CGDR,Nationwide (CA),GOOGLE
"94523, California, United States",CGDR,Nationwide (CA),GOOGLE
"94542, California, United States",CGDR,Nationwide (CA),GOOGLE
"95014, California, United States",CGDR,Nationwide (CA),GOOGLE
"91761, California, United States",CGDR,Nationwide (CA),GOOGLE
"92382, California, United States",CGDR,Nationwide (CA),GOOGLE
"90606, California, United States",CGDR,Nationwide (CA),GOOGLE
"95827, California, United States",CGDR,Nationwide (CA),GOOGLE
"92091, California, United States",CGDR,Nationwide (CA),GOOGLE
"91042, California, United States",CGDR,Nationwide (CA),GOOGLE
"94109, California, United States",CGDR,Nationwide (CA),GOOGLE
"93944, California, United States",CGDR,Nationwide (CA),GOOGLE
"92009, California, United States",CGDR,Nationwide (CA),GOOGLE
"93030, California, United States",CGDR,Nationwide (CA),GOOGLE
"95236, California, United States",CGDR,Nationwide (CA),GOOGLE
"92316, California, United States",CGDR,Nationwide (CA),GOOGLE
"92624, California, United States",CGDR,Nationwide (CA),GOOGLE
"94402, California, United States",CGDR,Nationwide (CA),GOOGLE
"93662, California, United States",CGDR,Nationwide (CA),GOOGLE
"95354, California, United States",CGDR,Nationwide (CA),GOOGLE
"90278, California, United States",CGDR,Nationwide (CA),GOOGLE
"91016, California, United States",CGDR,Nationwide (CA),GOOGLE
"91350, California, United States",CGDR,Nationwide (CA),GOOGLE
"92120, California, United States",CGDR,Nationwide (CA),GOOGLE
"92268, California, United States",CGDR,Nationwide (CA),GOOGLE
"94116, California, United States",CGDR,Nationwide (CA),GOOGLE
"92705, California, United States",CGDR,Nationwide (CA),GOOGLE
"94619, California, United States",CGDR,Nationwide (CA),GOOGLE
"94019, California, United States",CGDR,Nationwide (CA),GOOGLE
"91106, California, United States",CGDR,Nationwide (CA),GOOGLE
